-0.03, 0.05, 1.00,2020-04-20T15:28:15.247Z
-0.03, 0.06, 0.99,2020-04-20T15:28:15.448Z
-0.02, 0.06, 0.99,2020-04-20T15:28:15.568Z
-0.04, 0.05, 1.00,2020-04-20T15:28:15.755Z
-0.01, 0.06, 1.03,2020-04-20T15:28:15.888Z
0.01, 0.05, 1.04,2020-04-20T15:28:16.060Z
-0.03, 0.04, 1.02,2020-04-20T15:28:16.266Z
-0.03, 0.04, 1.00,2020-04-20T15:28:16.364Z
-0.02, 0.04, 0.98,2020-04-20T15:28:16.579Z
-0.03, 0.06, 0.99,2020-04-20T15:28:16.688Z
-0.01, 0.07, 1.00,2020-04-20T15:28:16.879Z
-0.02, 0.07, 1.00,2020-04-20T15:28:17.008Z
-0.04, 0.04, 1.01,2020-04-20T15:28:17.171Z
-0.02, 0.05, 1.02,2020-04-20T15:28:17.391Z
-0.02, 0.04, 1.02,2020-04-20T15:28:17.495Z
-0.01, 0.05, 1.02,2020-04-20T15:28:17.699Z
-0.03, 0.05, 1.00,2020-04-20T15:28:17.813Z
-0.03, 0.06, 0.99,2020-04-20T15:28:17.975Z
-0.03, 0.06, 0.98,2020-04-20T15:28:18.211Z
-0.03, 0.06, 1.00,2020-04-20T15:28:18.295Z
-0.03, 0.06, 1.01,2020-04-20T15:28:18.455Z
-0.02, 0.05, 1.02,2020-04-20T15:28:18.724Z
-0.01, 0.04, 1.03,2020-04-20T15:28:18.789Z
-0.02, 0.04, 1.01,2020-04-20T15:28:19.030Z
-0.03, 0.04, 1.00,2020-04-20T15:28:19.101Z
-0.03, 0.04, 0.99,2020-04-20T15:28:19.342Z
-0.04, 0.07, 0.98,2020-04-20T15:28:19.424Z
-0.03, 0.05, 1.00,2020-04-20T15:28:19.644Z
-0.02, 0.06, 1.01,2020-04-20T15:28:19.741Z
-0.02, 0.06, 1.02,2020-04-20T15:28:19.954Z
-0.02, 0.05, 1.02,2020-04-20T15:28:20.072Z
-0.02, 0.05, 1.01,2020-04-20T15:28:20.222Z
-0.02, 0.05, 1.01,2020-04-20T15:28:20.464Z
-0.03, 0.05, 1.00,2020-04-20T15:28:20.553Z
-0.03, 0.06, 1.00,2020-04-20T15:28:20.711Z
-0.03, 0.06, 1.00,2020-04-20T15:28:20.873Z
-0.03, 0.05, 1.00,2020-04-20T15:28:21.083Z
-0.02, 0.05, 1.00,2020-04-20T15:28:21.187Z
-0.01, 0.04, 1.02,2020-04-20T15:28:21.388Z
-0.08, 0.08, 1.00,2020-04-20T15:28:21.512Z
-0.04, 0.04, 1.01,2020-04-20T15:28:21.670Z
0.03, 0.04, 1.01,2020-04-20T15:28:21.898Z
0.00, 0.04, 1.01,2020-04-20T15:28:21.991Z
-0.02, 0.06, 1.00,2020-04-20T15:28:22.205Z
-0.05, 0.07, 1.00,2020-04-20T15:28:22.314Z
-0.01, 0.04, 1.01,2020-04-20T15:28:22.512Z
-0.01, 0.05, 1.00,2020-04-20T15:28:22.638Z
-0.06, 0.06, 1.00,2020-04-20T15:28:22.820Z
-0.02, 0.06, 1.03,2020-04-20T15:28:22.954Z
-0.02, 0.05, 1.02,2020-04-20T15:28:23.127Z
-0.04, 0.17, 1.02,2020-04-20T15:28:23.436Z
-0.02, 0.05, 1.02,2020-04-20T15:28:23.501Z
-0.03, 0.07, 1.00,2020-04-20T15:28:23.600Z
-0.01, 0.04, 1.02,2020-04-20T15:28:23.844Z
-0.02, 0.07, 1.01,2020-04-20T15:28:23.921Z
-0.02, 0.06, 1.01,2020-04-20T15:28:24.152Z
-0.01, 0.05, 1.03,2020-04-20T15:28:24.264Z
-0.02, 0.04, 1.02,2020-04-20T15:28:24.400Z
-0.02, 0.05, 1.02,2020-04-20T15:28:24.666Z
-0.02, 0.04, 1.01,2020-04-20T15:28:24.729Z
-0.02, 0.05, 1.01,2020-04-20T15:28:24.975Z
-0.02, 0.05, 1.01,2020-04-20T15:28:25.053Z
-0.03, 0.04, 1.00,2020-04-20T15:28:25.280Z
-0.03, 0.05, 1.00,2020-04-20T15:28:25.369Z
-0.03, 0.06, 1.00,2020-04-20T15:28:25.584Z
-0.03, 0.06, 1.00,2020-04-20T15:28:25.695Z
-0.02, 0.05, 1.01,2020-04-20T15:28:25.892Z
-0.02, 0.04, 0.99,2020-04-20T15:28:26.015Z
-0.05, 0.08, 1.01,2020-04-20T15:28:26.204Z
-0.03, 0.03, 1.01,2020-04-20T15:28:26.334Z
-0.02, 0.01, 0.99,2020-04-20T15:28:26.507Z
-0.04, 0.02, 0.99,2020-04-20T15:28:26.663Z
-0.01, 0.06, 1.00,2020-04-20T15:28:26.917Z
-0.02, 0.07, 1.00,2020-04-20T15:28:26.986Z
-0.02, 0.03, 1.01,2020-04-20T15:28:27.138Z
-0.05, 0.04, 1.01,2020-04-20T15:28:27.325Z
-0.02, 0.09, 1.01,2020-04-20T15:28:27.455Z
-0.00, 0.02, 0.99,2020-04-20T15:28:27.633Z
-0.02, 0.05, 1.00,2020-04-20T15:28:27.940Z
-0.01, 0.03, 1.00,2020-04-20T15:28:28.005Z
-0.03, 0.06, 1.01,2020-04-20T15:28:28.098Z
-0.02, 0.07, 1.01,2020-04-20T15:28:28.350Z
-0.04, 0.05, 1.01,2020-04-20T15:28:28.444Z
-0.03, 0.04, 1.00,2020-04-20T15:28:28.582Z
-0.01, 0.01, 1.00,2020-04-20T15:28:28.864Z
-0.02, 0.04, 1.00,2020-04-20T15:28:28.928Z
-0.01, 0.04, 1.00,2020-04-20T15:28:29.169Z
-0.03, 0.09, 1.01,2020-04-20T15:28:29.232Z
-0.01, 0.05, 1.02,2020-04-20T15:28:29.477Z
-0.05, 0.07, 1.01,2020-04-20T15:28:29.545Z
-0.03, 0.05, 1.01,2020-04-20T15:28:29.792Z
-0.02, 0.07, 0.99,2020-04-20T15:28:29.870Z
-0.02, 0.03, 0.99,2020-04-20T15:28:30.089Z
-0.02, 0.05, 1.00,2020-04-20T15:28:30.188Z
-0.02, 0.05, 1.00,2020-04-20T15:28:30.397Z
-0.02, 0.06, 1.01,2020-04-20T15:28:30.510Z
-0.02, 0.02, 1.02,2020-04-20T15:28:30.705Z
-0.02, -0.05, 0.99,2020-04-20T15:28:30.838Z
-0.05, 0.37, 1.01,2020-04-20T15:28:31.012Z
0.01, -0.04, 1.00,2020-04-20T15:28:31.218Z
-0.02, -0.24, 0.99,2020-04-20T15:28:31.312Z
-0.08, 0.49, 1.00,2020-04-20T15:28:31.523Z
0.00, -0.20, 1.00,2020-04-20T15:28:31.633Z
-0.02, -0.07, 1.00,2020-04-20T15:28:31.836Z
-0.05, 0.39, 1.02,2020-04-20T15:28:31.959Z
0.02, -0.33, 1.01,2020-04-20T15:28:32.140Z
-0.05, 0.18, 1.00,2020-04-20T15:28:32.277Z
-0.07, 0.25, 1.00,2020-04-20T15:28:32.444Z
0.03, -0.35, 1.02,2020-04-20T15:28:32.649Z
-0.07, 0.37, 1.01,2020-04-20T15:28:32.763Z
0.01, -0.05, 1.02,2020-04-20T15:28:32.956Z
-0.01, -0.16, 1.00,2020-04-20T15:28:33.087Z
-0.08, 0.48, 1.01,2020-04-20T15:28:33.244Z
0.02, -0.29, 1.01,2020-04-20T15:28:33.471Z
-0.06, 0.08, 1.00,2020-04-20T15:28:33.564Z
-0.04, 0.34, 1.01,2020-04-20T15:28:33.775Z
-0.02, -0.03, 1.01,2020-04-20T15:28:33.886Z
-0.04, 0.10, 1.01,2020-04-20T15:28:34.091Z
-0.02, 0.01, 1.00,2020-04-20T15:28:34.212Z
-0.02, 0.00, 0.99,2020-04-20T15:28:34.390Z
-0.02, 0.05, 1.00,2020-04-20T15:28:34.596Z
-0.00, 0.07, 1.01,2020-04-20T15:28:34.688Z
-0.04, 0.06, 1.01,2020-04-20T15:28:34.902Z
-0.03, 0.03, 1.02,2020-04-20T15:28:35.010Z
